,O32,R23,Ne3O2,O3Hb,N2Ha,S2_deficit,Balmer_dec,EW_Hb,EW_O3,beta_UV,xi_ion,MAB_1500,E_BV,fesc_dir,redshift
O32,1.0,-0.33963817455335715,0.9847339435412724,-0.1963370267007344,-0.906297100048823,-0.8352392505455499,0.23607101748510334,0.640988356191655,0.7816880620272035,0.035788246631526,-0.04185783761670041,0.5729666187773558,0.23232680858363744,-0.09743090830801403,0.15359783363156304
R23,-0.3396381745533571,1.0,-0.4425629308311616,0.9856948991339528,0.6855141333911625,0.698407691722653,0.4854118876766964,-0.6395567012453557,-0.3622035784973823,-0.10552066160827328,0.05163427417775076,-0.35409989011253845,0.5063054137471048,-0.22127750489816309,-0.36194552630307897
Ne3O2,0.9847339435412723,-0.4425629308311616,1.0,-0.30855542941535885,-0.934734312214738,-0.8849202962150573,0.07595685633906195,0.7136978068526939,0.815262830425887,0.051946204159472605,-0.04645154279150976,0.537300022228633,0.0711545892656526,-0.03828835560112051,0.20688115630124393
O3Hb,-0.1963370267007344,0.9856948991339529,-0.30855542941535885,1.0,0.5741508841055836,0.5952716017025418,0.5427515296152605,-0.5919159797915325,-0.2657152870501249,-0.10032453827487857,0.04467133856015396,-0.2822068140878477,0.563830218958322,-0.2431103496249059,-0.34732166667339465
N2Ha,-0.906297100048823,0.6855141333911625,-0.934734312214738,0.5741508841055836,1.0,0.9522475650854562,-0.004849561909574461,-0.7621226985126248,-0.7362599213919531,-0.07119514094142222,0.05654023017389812,-0.5922792099397965,0.007116603399312133,-0.022977212247400607,-0.2697009413295061
S2_deficit,-0.8352392505455499,0.6984076917226529,-0.8849202962150573,0.5952716017025417,0.9522475650854563,1.0,0.13775083079341022,-0.7384978071803233,-0.717719790911364,-0.08745502503446301,0.055995396405638075,-0.5071096753027944,0.1482926201494221,-0.07869411035198168,-0.3111807462727521
Balmer_dec,0.23607101748510337,0.4854118876766964,0.07595685633906195,0.5427515296152605,-0.004849561909574461,0.13775083079341022,0.9999999999999999,-0.21486787640582306,-0.026483526795365243,-0.0782037927893897,-0.005001128747539762,0.31431878231903243,0.9976617905238283,-0.305405068996569,-0.19299879772627418
EW_Hb,0.640988356191655,-0.6395567012453557,0.7136978068526939,-0.5919159797915325,-0.7621226985126247,-0.7384978071803234,-0.21486787640582306,0.9999999999999999,0.7454914514010041,0.0668790815849206,-0.01957562067816406,0.3902946013023336,-0.22351003804494643,0.015814293230914916,0.28217835192851426
EW_O3,0.7816880620272035,-0.3622035784973823,0.815262830425887,-0.26571528705012487,-0.7362599213919531,-0.7177197909113638,-0.026483526795365243,0.7454914514010041,1.0,0.0598157856666746,-0.038161971114878075,0.45962039632846213,-0.0275428325130315,-0.062464524644561197,0.2632058709207287
beta_UV,0.035788246631526,-0.10552066160827328,0.0519462041594726,-0.10032453827487858,-0.07119514094142222,-0.08745502503446301,-0.0782037927893897,0.0668790815849206,0.0598157856666746,1.0,-0.04863088726190113,0.006976430188780195,-0.07972205512690192,0.039932517209029274,0.25644172709527663
xi_ion,-0.04185783761670041,0.05163427417775076,-0.046451542791509766,0.04467133856015396,0.05654023017389812,0.055995396405638075,-0.005001128747539762,-0.01957562067816406,-0.038161971114878075,-0.04863088726190112,1.0,0.007909305566853066,-0.006408270077680412,0.02264787122757255,-0.2849371598603031
MAB_1500,0.5729666187773559,-0.35409989011253845,0.537300022228633,-0.28220681408784765,-0.5922792099397965,-0.5071096753027945,0.31431878231903243,0.39029460130233357,0.45962039632846213,0.006976430188780195,0.007909305566853066,1.0,0.30379428075112036,-0.11884797683173409,0.09259176269324637
E_BV,0.23232680858363744,0.5063054137471048,0.0711545892656526,0.563830218958322,0.007116603399312133,0.1482926201494221,0.9976617905238283,-0.22351003804494643,-0.0275428325130315,-0.07972205512690192,-0.006408270077680412,0.30379428075112036,1.0,-0.3258487064108286,-0.19953558028982427
fesc_dir,-0.09743090830801403,-0.2212775048981631,-0.038288355601120504,-0.2431103496249059,-0.022977212247400607,-0.07869411035198168,-0.305405068996569,0.015814293230914916,-0.062464524644561197,0.03993251720902928,0.02264787122757255,-0.11884797683173408,-0.32584870641082864,1.0,0.12479405168054251
redshift,0.15359783363156304,-0.361945526303079,0.20688115630124393,-0.34732166667339465,-0.2697009413295061,-0.3111807462727521,-0.19299879772627415,0.2821783519285142,0.2632058709207287,0.25644172709527663,-0.2849371598603031,0.09259176269324637,-0.1995355802898243,0.12479405168054251,1.0
