,O32,R23,Ne3O2,O3Hb,N2Ha,S2_deficit,Balmer_dec,EW_Hb,EW_O3,beta_UV,xi_ion,MAB_1500,E_BV,fesc_dir,redshift
O32,0.1288546728971397,-0.02795869314773367,0.12169566987798232,-0.015451739670236215,-0.1424490079813557,-0.15340889495992024,0.029315952045382527,21.6877828980433,39.898770432471004,0.0055099912193271655,-0.09622902942325935,0.22556799577791778,0.007745657315576477,-0.0045471725980216265,0.08214191697369096
R23,-0.02795869314773367,0.052589684630604164,-0.03494068772239718,0.04955846870040928,0.06883438693571362,0.08194998098493371,0.03850985962049397,-13.82433557227326,-11.810790506125539,-0.010378824959066238,0.07583463310883044,-0.08905824836630555,0.010783797407493113,-0.0065975417986499285,-0.12365826631579183
Ne3O2,0.12169566987798232,-0.03494068772239718,0.11852562717346897,-0.02328972766187108,-0.140907162188328,-0.1558833919496208,0.009046578529062805,23.159833002788357,39.909815465486574,0.007670441249243833,-0.10242017274713083,0.20287151075872312,0.0022751912717401345,-0.001713828841679765,0.10611009981406587
O3Hb,-0.015451739670236215,0.04955846870040928,-0.02328972766187108,0.0480673492254918,0.055117546436330205,0.06677744694423748,0.04116587839244552,-12.23207348076496,-8.283570513307023,-0.009433930116006274,0.06272393306817044,-0.06785637513267827,0.011481068306619342,-0.00692983885383904,-0.11344532924242536
N2Ha,-0.1424490079813557,0.06883438693571362,-0.140907162188328,0.055117546436330205,0.19172445186003498,0.21334289470309095,-0.000734602673608023,-31.454195316361236,-45.84013192554678,-0.013370557169505137,0.15855339830446008,-0.2844220842295503,0.00028941456400243497,-0.0013080691095297293,-0.17593444356878576
S2_deficit,-0.15340889495992024,0.08194998098493371,-0.1558833919496208,0.06677744694423748,0.21334289470309095,0.26180571367692906,0.02438344313080126,-35.61670183486814,-52.21802339259125,-0.019192640450302355,0.18349368138795785,-0.2845702730987521,0.007047222195324644,-0.005235116992674676,-0.2372094220205996
Balmer_dec,0.029315952045382527,0.03850985962049397,0.009046578529062805,0.04116587839244552,-0.000734602673608023,0.02438344313080126,0.11968025025917783,-7.006444178144649,-1.302755783906475,-0.011603779283002045,-0.011080478351813649,0.11925583881177267,0.03205556601076091,-0.013736689660613692,-0.09947077578411885
EW_Hb,21.6877828980433,-13.82433557227326,23.159833002788357,-12.23207348076496,-31.454195316361236,-35.61670183486814,-7.006444178144649,8884.435946450325,9991.565605843754,2.7037443793299496,-11.817067098688156,40.346470440340624,-1.9566846078580724,0.19380247499533873,39.62490920123793
EW_O3,39.898770432471004,-11.810790506125539,39.909815465486574,-8.283570513307023,-45.84013192554678,-52.21802339259125,-1.302755783906475,9991.565605843754,20218.637815076556,3.6479775465446775,-34.75249383896381,71.67592609699933,-0.3637419690134959,-1.154792586286261,55.75722815117194
beta_UV,0.0055099912193271655,-0.010378824959066238,0.007670441249243833,-0.009433930116006274,-0.013370557169505137,-0.019192640450302355,-0.011603779283002045,2.7037443793299496,3.6479775465446775,0.18395889727022163,-0.1335831936763654,0.003281645958950809,-0.003175760556306987,0.0022268024357631126,0.16386218780387823
xi_ion,-0.09622902942325935,0.07583463310883044,-0.10242017274713083,0.06272393306817044,0.15855339830446008,0.18349368138795785,-0.011080478351813649,-11.817067098688156,-34.75249383896381,-0.1335831936763654,41.01648695081721,0.055554041427443315,-0.003811789443678902,0.018858242612379488,-2.718679287271456
MAB_1500,0.22556799577791778,-0.08905824836630555,0.20287151075872312,-0.06785637513267827,-0.2844220842295503,-0.2845702730987521,0.11925583881177267,40.346470440340624,71.67592609699933,0.003281645958950809,0.055554041427443315,1.2028075557833282,0.030944718279528462,-0.016946673733482402,0.15128646768900667
E_BV,0.007745657315576477,0.010783797407493113,0.0022751912717401345,0.011481068306619342,0.00028941456400243497,0.007047222195324644,0.03205556601076091,-1.9566846078580724,-0.3637419690134959,-0.003175760556306987,-0.003811789443678902,0.030944718279528462,0.008626164419474412,-0.003934771060077668,-0.027609520955751046
fesc_dir,-0.0045471725980216265,-0.0065975417986499285,-0.001713828841679765,-0.00692983885383904,-0.0013080691095297293,-0.005235116992674676,-0.013736689660613692,0.19380247499533873,-1.154792586286261,0.0022268024357631126,0.018858242612379488,-0.016946673733482402,-0.003934771060077668,0.01690398905399136,0.02417230935637347
redshift,0.08214191697369096,-0.12365826631579183,0.10611009981406587,-0.11344532924242536,-0.17593444356878576,-0.2372094220205996,-0.09947077578411885,39.62490920123793,55.75722815117194,0.16386218780387823,-2.718679287271456,0.15128646768900667,-0.027609520955751046,0.02417230935637347,2.2195212852013038
