,O32,R23,Ne3O2,O3Hb,N2Ha,S2_deficit,Balmer_dec,EW_Hb,EW_O3,beta_UV,xi_ion,MAB_1500,E_BV,redshift,fesc_dir
O32,,0.27895143156018953,1.740626971485307,0.2223031143456362,0.9877604789896539,0.712072326516834,0.09247409089118541,0.40663248060762847,0.5271379429054734,0.022802978119427664,0.21330182229245764,0.26775966851411503,0.09087131858785558,0.04514890488982104,0.06445130682252387
R23,0.27895143156018953,,0.326523416129203,1.9886927104833916,0.7017435450089033,0.6015906714295518,0.29062450325978073,0.6424613069745426,0.2917823123258936,0.06209741669023483,0.12934100010848404,0.20539071069993664,0.28886275000245565,0.15705926164889839,0.05213591494307934
Ne3O2,1.740626971485307,0.326523416129203,,0.257962736707368,1.1504197744774114,0.8897172226528944,0.07909476634766488,0.5630490337266236,0.6649749751447454,0.03389693112541359,0.24580685505102018,0.24601239224268046,0.07998711743180653,0.06934860085178407,0.04831572401442408
O3Hb,0.2223031143456362,1.9886927104833916,0.257962736707368,,0.5135825906304046,0.44769353398515577,0.3500650768373337,0.4892115643774151,0.2100884954305826,0.046048601695054536,0.08964236865872977,0.17881835536969515,0.3494734800941419,0.12767128806416927,0.058913194952299186
N2Ha,0.9877604789896539,0.7017435450089033,1.1504197744774114,0.5135825906304046,,1.5818787060455053,0.11278763356539212,0.6638085567522243,0.5182175217765659,0.043195658844061846,0.25714417306853754,0.3152938621951442,0.11209452888877802,0.10420216126363879,0.04146325161072273
S2_deficit,0.712072326516834,0.6015906714295518,0.8897172226528944,0.44769353398515577,1.5818787060455053,,0.14299192778009395,0.7111985520459827,0.5504220113220759,0.029259146581520845,0.19337389685939854,0.2734353933185103,0.14038428342062836,0.09473225849373712,0.06060086856410862
Balmer_dec,0.09247409089118541,0.29062450325978073,0.07909476634766488,0.3500650768373337,0.11278763356539212,0.14299192778009395,,0.16419042099724557,0.08854638725736663,0.009378330538127422,0.012185342453790327,0.1251682208274456,7.749973683747742,0.0352187860478681,0.17372561806648257
EW_Hb,0.40663248060762847,0.6424613069745426,0.5630490337266236,0.4892115643774151,0.6638085567522243,0.7111985520459827,0.16419042099724557,,1.049796095800228,0.046386881841114835,0.39297372745476444,0.17865106695548771,0.16297843537076417,0.1330807131475611,0.03789155477826167
EW_O3,0.5271379429054734,0.2917823123258936,0.6649749751447454,0.2100884954305826,0.5182175217765659,0.5504220113220759,0.08854638725736663,1.049796095800228,,0.01966858924743864,0.3031917161572313,0.1777469847215647,0.08705777083413135,0.09497638198143576,0.058356823774600386
beta_UV,0.022802978119427664,0.06209741669023483,0.03389693112541359,0.046048601695054536,0.043195658844061846,0.029259146581520845,0.009378330538127422,0.046386881841114835,0.01966858924743864,,0.00953943092445897,0.014780189658069709,0.010107054099398383,0.07177174952963838,0.009661699852724581
xi_ion,0.21330182229245764,0.12934100010848404,0.24580685505102018,0.08964236865872977,0.25714417306853754,0.19337389685939854,0.012185342453790327,0.39297372745476444,0.3031917161572313,0.00953943092445897,,0.08065384801634501,0.010482197716901176,1.7614944353266253,0.1598687266379608
MAB_1500,0.26775966851411503,0.20539071069993664,0.24601239224268046,0.17881835536969515,0.3152938621951442,0.2734353933185103,0.1251682208274456,0.17865106695548771,0.1777469847215647,0.014780189658069709,0.08065384801634501,,0.12563065479212732,0.02043472037433336,0.12212819438691724
E_BV,0.09087131858785558,0.28886275000245565,0.07998711743180653,0.3494734800941419,0.11209452888877802,0.14038428342062836,7.749973683747742,0.16297843537076417,0.08705777083413135,0.010107054099398383,0.010482197716901176,0.12563065479212732,,0.0353520893310888,0.17359483171681145
redshift,0.04514890488982104,0.15705926164889839,0.06934860085178407,0.12767128806416927,0.10420216126363879,0.09473225849373712,0.0352187860478681,0.1330807131475611,0.09497638198143576,0.07177174952963838,1.7614944353266253,0.02043472037433336,0.0353520893310888,,0.030355525325220345
fesc_dir,0.06445130682252387,0.05213591494307934,0.04831572401442408,0.058913194952299186,0.04146325161072273,0.06060086856410862,0.17372561806648257,0.03789155477826167,0.058356823774600386,0.009661699852724581,0.1598687266379608,0.12212819438691724,0.17359483171681145,0.030355525325220345,
