,O32,R23,Ne3O2,O3Hb,N2Ha,S2_deficit,Balmer_dec,EW_Hb,EW_O3,beta_UV,xi_ion,MAB_1500,E_BV,redshift,fesc_dir
O32,1.0,-0.3282228290524289,0.9746110470206418,-0.16622679793777712,-0.8647258631701173,-0.7902399170332132,0.2255334187162152,0.5965333462645468,0.7150311962699006,0.0468773215478522,0.6337683371018895,0.5484665970372345,0.2255334187162152,0.15625174711502077,-0.31782904259452116
R23,-0.3282228290524289,1.0,-0.46247842069098644,0.9812939159680009,0.6973313282692302,0.7189436134981926,0.5825322130668202,-0.8054433885065244,-0.4911254027140544,-0.10687145955317287,-0.5507168941089294,-0.3241467353943213,0.5825322130668202,-0.3769256073673315,-0.09899980928244369
Ne3O2,0.9746110470206418,-0.46247842069098644,1.0,-0.3082457484885465,-0.9113993176675945,-0.8663354507012856,0.042902752067697524,0.7199780094242838,0.7916723926943702,0.06417663704557469,0.6804412626332162,0.5173911083486287,0.042902752067697524,0.22439258663767456,-0.23563292124447924
O3Hb,-0.16622679793777712,0.9812939159680009,-0.3082457484885465,1.0,0.567550911361714,0.6035419499651756,0.6439472098779909,-0.7204986111365597,-0.3762535316917872,-0.09814971582911962,-0.44844207752209725,-0.24590010286378053,0.6439472098779909,-0.36210584043004895,-0.15493287195046432
N2Ha,-0.8647258631701173,0.6973313282692302,-0.9113993176675945,0.567550911361714,1.0,0.9603288298100424,0.058317853524860186,-0.7928815261582502,-0.7049580192812148,-0.08493667350518788,-0.7111241529739277,-0.5752454177946368,0.058317853524860186,-0.2835047056511838,0.18562771209234738
S2_deficit,-0.7902399170332132,0.7189436134981926,-0.8663354507012856,0.6035419499651756,0.9603288298100424,1.0,0.18576486395637376,-0.8210046102944909,-0.7232829473839776,-0.09729729815115516,-0.6705207166294298,-0.4883789578442408,0.18576486395637376,-0.32102575967914415,0.08448073818649116
Balmer_dec,0.2255334187162152,0.5825322130668202,0.042902752067697524,0.6439472098779909,0.058317853524860186,0.18576486395637376,1.0,-0.4223699894236938,-0.1790035512125425,-0.07073522147039582,-0.08083591986459593,0.2580706822451498,1.0,-0.21687801073037358,-0.439082473997841
EW_Hb,0.5965333462645468,-0.8054433885065244,0.7199780094242838,-0.7204986111365597,-0.7928815261582502,-0.8210046102944909,-0.4223699894236938,1.0,0.8917144923219987,0.1122729849004773,0.7405379134143691,0.410791387575729,-0.4223699894236938,0.3988388919306045,-0.044619798688505796
EW_O3,0.7150311962699006,-0.4911254027140544,0.7916723926943702,-0.3762535316917872,-0.7049580192812148,-0.7232829473839776,-0.1790035512125425,0.8917144923219987,1.0,0.08983887909607367,0.6945570274022578,0.40396910079890264,-0.1790035512125425,0.3221202616192557,-0.15566843489212587
beta_UV,0.0468773215478522,-0.10687145955317287,0.06417663704557469,-0.09814971582911962,-0.08493667350518788,-0.09729729815115516,-0.07073522147039582,0.1122729849004773,0.08983887909607367,1.0,0.052771698756900014,0.001922243131286721,-0.07073522147039582,0.31330716819566706,0.0470106325540173
xi_ion,0.6337683371018896,-0.5507168941089294,0.6804412626332164,-0.44844207752209725,-0.7111241529739277,-0.6705207166294298,-0.08083591986459593,0.7405379134143691,0.6945570274022578,0.05277169875690002,1.0,0.45037176718726935,-0.08083591986459593,0.19286754415179205,-0.18730833812898876
MAB_1500,0.5484665970372345,-0.3241467353943213,0.5173911083486287,-0.24590010286378053,-0.5752454177946368,-0.4883789578442408,0.2580706822451498,0.410791387575729,0.40396910079890264,0.001922243131286721,0.45037176718726935,1.0,0.2580706822451498,0.07342136223820281,-0.4741829989305167
E_BV,0.2255334187162152,0.5825322130668202,0.042902752067697524,0.6439472098779909,0.058317853524860186,0.18576486395637376,1.0,-0.4223699894236938,-0.1790035512125425,-0.07073522147039582,-0.08083591986459593,0.2580706822451498,1.0,-0.21687801073037358,-0.439082473997841
redshift,0.15625174711502077,-0.3769256073673315,0.22439258663767453,-0.36210584043004895,-0.2835047056511838,-0.3210257596791441,-0.21687801073037358,0.39883889193060446,0.32212026161925567,0.313307168195667,0.19286754415179208,0.07342136223820282,-0.21687801073037358,1.0,0.09941809267025055
fesc_dir,-0.31782904259452116,-0.09899980928244369,-0.2356329212444792,-0.1549328719504643,0.18562771209234738,0.08448073818649116,-0.439082473997841,-0.044619798688505796,-0.15566843489212584,0.0470106325540173,-0.18730833812898873,-0.4741829989305167,-0.439082473997841,0.09941809267025055,1.0
